Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2019-02-02,"['ISRG', 'NTES', 'CMCSA', 'AMGN', 'XEL', 'NVDA', 'AVGO', 'MU', 'QCOM', 'INTC', 'SWKS', 'MNST', 'LRCX', 'HON', 'TXN', 'CERN']",-2.41,2.52,0
2019-02-03,"['NXPI', 'COST', 'LRCX', 'CMCSA', 'QCOM', 'XEL', 'NVDA', 'INCY', 'AVGO', 'INTC', 'SWKS', 'CERN', 'PCAR', 'MNST', 'TXN', 'ADSK']",-4.82,4.51,0
2019-02-06,"['MU', 'PAYX', 'COST', 'SWKS', 'LRCX', 'TMUS', 'INTC', 'XEL', 'INCY', 'MNST', 'PCAR', 'TXN', 'ADSK', 'QCOM', 'CMCSA', 'CERN']",1.01,10.58,0
2019-02-07,"['HON', 'LRCX', 'NVDA', 'COST', 'NXPI', 'INTC', 'SWKS', 'PAYX', 'QCOM', 'XEL', 'MNST', 'TXN', 'ADSK', 'PCAR', 'CMCSA', 'CERN']",2.8,7.64,0
2019-02-08,"['MELI', 'COST', 'MU', 'NVDA', 'NXPI', 'LRCX', 'INTC', 'SWKS', 'MNST', 'XEL', 'QCOM', 'TXN', 'ADSK', 'PCAR', 'CMCSA', 'CERN']",-1.04,7.59,0
2019-02-09,"['MU', 'COST', 'INTC', 'SWKS', 'CDNS', 'MNST', 'XEL', 'QCOM', 'PAYX', 'ADSK', 'INCY', 'TXN', 'HON', 'CMCSA', 'PCAR', 'CERN']",3.39,12.0,0
2019-02-10,"['MELI', 'TXN', 'CDNS', 'AVGO', 'XEL', 'SWKS', 'QCOM', 'LRCX', 'MNST', 'INTC', 'PAYX', 'HON', 'ADSK', 'CMCSA', 'PCAR', 'CERN']",4.16,10.28,0
2019-02-13,"['MU', 'PAYX', 'NXPI', 'COST', 'LRCX', 'XEL', 'SWKS', 'INTC', 'QCOM', 'HON', 'MNST', 'CMCSA', 'TXN', 'ADSK', 'PCAR', 'CERN']",1.37,9.88,0
2019-02-14,"['CHTR', 'MU', 'LRCX', 'CDNS', 'XEL', 'SWKS', 'INTC', 'NXPI', 'MNST', 'QCOM', 'HON', 'TXN', 'ADSK', 'CMCSA', 'PCAR', 'CERN']",0.07,9.44,0
2019-02-15,"['MU', 'FISV', 'MELI', 'NVDA', 'INTC', 'QCOM', 'LRCX', 'XEL', 'MNST', 'SWKS', 'NXPI', 'PCAR', 'TXN', 'ADSK', 'CMCSA', 'CERN']",-3.02,7.69,0
2019-02-16,"['AMGN', 'INCY', 'ADSK', 'HON', 'SWKS', 'MU', 'NVDA', 'INTC', 'LRCX', 'XEL', 'CHKP', 'TXN', 'PCAR', 'MNST', 'CMCSA', 'CERN']",0.23,6.25,0
2019-02-17,"['CHKP', 'QCOM', 'SWKS', 'NVDA', 'ADSK', 'MU', 'LRCX', 'INCY', 'HON', 'MNST', 'XEL', 'INTC', 'TXN', 'PCAR', 'CMCSA', 'CERN']",-0.39,6.7,0
2019-02-21,"['SWKS', 'CHKP', 'CHTR', 'NVDA', 'NTES', 'MU', 'HON', 'QCOM', 'XEL', 'INTC', 'MNST', 'PCAR', 'TXN', 'INCY', 'CMCSA', 'CERN']",-4.16,6.68,0
2019-02-22,"['SWKS', 'LRCX', 'NVDA', 'PAYX', 'MU', 'HON', 'XEL', 'ADSK', 'CHKP', 'INTC', 'MNST', 'TXN', 'PCAR', 'QCOM', 'CMCSA', 'CERN']",-1.46,6.6,0
2019-02-23,"['SWKS', 'NVDA', 'LRCX', 'PAYX', 'ADSK', 'INTC', 'MU', 'CHKP', 'XEL', 'PCAR', 'HON', 'QCOM', 'MNST', 'TXN', 'CMCSA', 'CERN']",-1.87,7.35,0
